Sequence|Question|Options|Answer
1|根據司法院釋字第603號解釋，資訊隱私權在我國的憲法基礎為何？|言論自由|0
1|根據司法院釋字第603號解釋，資訊隱私權在我國的憲法基礎為何？|財產權|0
1|根據司法院釋字第603號解釋，資訊隱私權在我國的憲法基礎為何？|居住自由|0
1|根據司法院釋字第603號解釋，資訊隱私權在我國的憲法基礎為何？|憲法第22條的其他基本權|1
2|下列有關人性尊嚴或人格尊嚴之敘述，何者錯誤？|夫妻一方若受他方已逾越夫妻通常所能忍受程度之虐待而有侵害人格尊嚴與人身安全者，即不得謂非受不堪同居之虐待|0
2|下列有關人性尊嚴或人格尊嚴之敘述，何者錯誤？|憲法第15條關於人民財產權應予保障之規定，係為實現個人自由、發展人格及維護尊嚴|0
2|下列有關人性尊嚴或人格尊嚴之敘述，何者錯誤？|憲法規定人民有依法律服兵役之義務，並無違反人性尊嚴|0
2|下列有關人性尊嚴或人格尊嚴之敘述，何者錯誤？|隱私權係基於維護人性尊嚴與尊重人格自由發展而形成，因此對其之限制當然侵犯人性尊嚴|1
3|假設有某國立大學學生甲因考試作弊，為學校處以退學處分；學生乙因故意毀損圖書館內公用電腦，遭學校禁止其進入圖書館1個月；學生丙因未經許可在校園張貼社團活動宣傳海報，為學校處以申誡一次。甲、乙、丙三人各依學校內部申訴途徑謀求救濟，但均失敗。依司法院大法官解釋意旨，試問甲、乙、丙三人中之何人得進而提起訴願、行政訴訟，以保障其權利？|只有甲可以，乙、丙不能|0
3|假設有某國立大學學生甲因考試作弊，為學校處以退學處分；學生乙因故意毀損圖書館內公用電腦，遭學校禁止其進入圖書館1個月；學生丙因未經許可在校園張貼社團活動宣傳海報，為學校處以申誡一次。甲、乙、丙三人各依學校內部申訴途徑謀求救濟，但均失敗。依司法院大法官解釋意旨，試問甲、乙、丙三人中之何人得進而提起訴願、行政訴訟，以保障其權利？|甲、乙可，丙不能|0
3|假設有某國立大學學生甲因考試作弊，為學校處以退學處分；學生乙因故意毀損圖書館內公用電腦，遭學校禁止其進入圖書館1個月；學生丙因未經許可在校園張貼社團活動宣傳海報，為學校處以申誡一次。甲、乙、丙三人各依學校內部申訴途徑謀求救濟，但均失敗。依司法院大法官解釋意旨，試問甲、乙、丙三人中之何人得進而提起訴願、行政訴訟，以保障其權利？|甲、乙、丙都可以|1
3|假設有某國立大學學生甲因考試作弊，為學校處以退學處分；學生乙因故意毀損圖書館內公用電腦，遭學校禁止其進入圖書館1個月；學生丙因未經許可在校園張貼社團活動宣傳海報，為學校處以申誡一次。甲、乙、丙三人各依學校內部申訴途徑謀求救濟，但均失敗。依司法院大法官解釋意旨，試問甲、乙、丙三人中之何人得進而提起訴願、行政訴訟，以保障其權利？|甲、乙、丙都不能|0
4|依憲法第141條規定：「中華民國之外交，應本獨立自主之精神，平等互惠之原則，敦睦邦交，尊重條約及聯合國憲章，以保護僑民權益，促進國際合作，提倡國際正義，確保世界和平。」下列敘述何者正確？|憲法上既規定應尊重條約，則所有條約均當然直接具有內國法的效力|0
4|依憲法第141條規定：「中華民國之外交，應本獨立自主之精神，平等互惠之原則，敦睦邦交，尊重條約及聯合國憲章，以保護僑民權益，促進國際合作，提倡國際正義，確保世界和平。」下列敘述何者正確？|我國所簽訂之「條約」或「協定」，其內容直接涉及國家重要事項者，應送立法院審議|1
4|依憲法第141條規定：「中華民國之外交，應本獨立自主之精神，平等互惠之原則，敦睦邦交，尊重條約及聯合國憲章，以保護僑民權益，促進國際合作，提倡國際正義，確保世界和平。」下列敘述何者正確？|憲法上規定應尊重條約，國際上條約的內容如有「國家應廢除死刑」的規定，則不論我國是否簽署，均應遵守|0
4|依憲法第141條規定：「中華民國之外交，應本獨立自主之精神，平等互惠之原則，敦睦邦交，尊重條約及聯合國憲章，以保護僑民權益，促進國際合作，提倡國際正義，確保世界和平。」下列敘述何者正確？|外交上既應「平等互惠」，則相關法律若有涉及外國人權利者，須我國國民在該國亦享有此等權利，法律方可規定外國人亦可享有|0
5|在任總統甲涉嫌貪污時，下列敘述何者正確？|最高法院檢察署特別偵查組檢察官可就甲涉嫌貪污部分進行偵查並起訴|0
5|在任總統甲涉嫌貪污時，下列敘述何者正確？|立法委員可以對甲提出彈劾案或罷免案|1
5|在任總統甲涉嫌貪污時，下列敘述何者正確？|對於甲的彈劾案還須經人民投票通過|0
5|在任總統甲涉嫌貪污時，下列敘述何者正確？|對於甲的罷免案由司法院大法官審理|0
6|我國總統因發生國際重大金融風暴，臺灣經濟受到重創，認為有行緊急處置之必要，下列敘述何者錯誤？|因為事關緊急，所以不論立法院是否在會期中，緊急命令皆無須事先經過立法院決議|0
6|我國總統因發生國際重大金融風暴，臺灣經濟受到重創，認為有行緊急處置之必要，下列敘述何者錯誤？|因為事關緊急，緊急命令無須立法院事後追認，祇是須自定存續期間|1
6|我國總統因發生國際重大金融風暴，臺灣經濟受到重創，認為有行緊急處置之必要，下列敘述何者錯誤？|緊急命令之發布，須經行政院會議之決議|0
6|我國總統因發生國際重大金融風暴，臺灣經濟受到重創，認為有行緊急處置之必要，下列敘述何者錯誤？|緊急命令之內容，須經立法院追認|0
7|公務員A因在其服務機關組織「同志社團」，而被服務機關以行為不端移付考績委員會懲處，A若於考績委員會調查時，被迫公開性傾向，試問此舉涉及A何種基本權？|隱私權|1
